country,tourists_in_millions
France,117.1
Mexico,51.1
United States,45
Italy,38.4
Hungary,31.6
Croatia,21.6
Turkey,16
Austria,15.1
Germany,12.4
Virgin Islands,8.6
United Arab Emirates,8.1
Greece,7.4
Netherlands,7.3
Russia,6.4
Macao,5.9
Romania,5
Bulgaria,5
Malaysia,4.3
Portugal,4.2
Japan,4.1
Indonesia,4.1
South Africa,3.9
Puerto Rico,3.9
Vietnam,3.8
Belarus,3.6
Hong Kong,3.6
Ukraine,3.4
Morocco,2.8
Albania,2.7
Belgium,2.6
South Korea,2.5
Australia,1.8
Philippines,1.5
Norway,1.4
Cambodia,1.3
Qatar,0.6
Luxembourg,0.5
Ethiopia,0.5
Serbia,0.4
Bermuda,0.1
Moldova,0
